"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Flight Of The Conchords","Jayden","F","1","Duffy","158.14485","free","Seattle-Tacoma-Bellevue, WA","561","Hurt Feelings","76"
"Mike Posner","Chloe","F","27","Cuevas","214.7522","paid","San Francisco-Oakland-Hayward, CA","630","Cooler Than Me","49"
"Juana Molina","Aleena","F","67","Kirby","226.61179","paid","Waterloo-Cedar Falls, IA","619","Medlong","44"
"Nancy Sinatra","Jayden","F","2","Duffy","184.63302","free","Seattle-Tacoma-Bellevue, WA","561","So Long_ Babe (2006 Digital Remaster)","76"
"Joy Division","Chloe","F","28","Cuevas","355.18649","paid","San Francisco-Oakland-Hayward, CA","630","I Remember Nothing [2007 Re-mastered Album Version]","49"
"Elvis Presley","Aleena","F","68","Kirby","273.76281","paid","Waterloo-Cedar Falls, IA","619","Suspicious Minds","44"
"Kings Of Leon","Chloe","F","30","Cuevas","201.79546","paid","San Francisco-Oakland-Hayward, CA","630","Revelry","49"
"Kanye West / Consequence / Cam'Ron","Aleena","F","69","Kirby","333.34812","paid","Waterloo-Cedar Falls, IA","619","Gone","44"
"Johnny Winter","Chloe","F","31","Cuevas","714.37016","paid","San Francisco-Oakland-Hayward, CA","630","It's My Own Fault","49"
"Greg Brown","Aleena","F","70","Kirby","285.28281","paid","Waterloo-Cedar Falls, IA","619","I Believe I'll Go Back Home","44"
"Wim Mertens","Aleena","F","71","Kirby","240.79628","paid","Waterloo-Cedar Falls, IA","619","Naviamente","44"
"Ra Ra Riot","Chloe","F","32","Cuevas","152.71138","paid","San Francisco-Oakland-Hayward, CA","630","Can You Tell","49"
"Foo Fighters","Aleena","F","72","Kirby","302.91546","paid","Waterloo-Cedar Falls, IA","619","What If I Do?","44"
"Vanessa Williams","Aleena","F","73","Kirby","257.14893","paid","Waterloo-Cedar Falls, IA","619","Colors Of The Wind","44"
"Gyllene Tider","Aleena","F","74","Kirby","253.962","paid","Waterloo-Cedar Falls, IA","619","(Hon Vill Ha) Puls","44"
"Ska Cubano","Chloe","F","34","Cuevas","281.44281","paid","San Francisco-Oakland-Hayward, CA","630","Cumbia En Do Menor","49"
"Train","Aleena","F","75","Kirby","205.45261","paid","Waterloo-Cedar Falls, IA","619","Marry Me","44"
"Camera Obscura","Aleena","F","76","Kirby","218.69669","paid","Waterloo-Cedar Falls, IA","619","Teenager","44"
"Liah","Chloe","F","35","Cuevas","195.65669","paid","San Francisco-Oakland-Hayward, CA","630","Tudo Que Eu Sempre Quis","49"
"Rise Against","Aleena","F","77","Kirby","245.96853","paid","Waterloo-Cedar Falls, IA","619","Audience Of One","44"
"Rise Against","Aleena","F","78","Kirby","182.09914","paid","Waterloo-Cedar Falls, IA","619","My Life Inside Your Heart","44"
"Sly Fox","Aleena","F","79","Kirby","227.18649","paid","Waterloo-Cedar Falls, IA","619","Let's Go All The Way (Short Blix Mix)","44"
"Heart","Aleena","F","80","Kirby","296.14975","paid","Waterloo-Cedar Falls, IA","619","Crazy On You","44"
"Ugly Kid Joe","Aleena","F","81","Kirby","241.03138","paid","Waterloo-Cedar Falls, IA","619","Cats In The Cradle","44"
"Traveling Wilburys","Aleena","F","0","Kirby","201.58649","paid","Waterloo-Cedar Falls, IA","637","You Took My Breath Away (2007 Remastered LP Version)","44"
"Michael BublÃÂ©","Aleena","F","1","Kirby","151.53587","paid","Waterloo-Cedar Falls, IA","637","A Foggy Day (In London Town) (Album Version)","44"
"S Club 7","Aleena","F","2","Kirby","201.16853","paid","Waterloo-Cedar Falls, IA","637","Have You Ever","44"
"Hevia","Aleena","F","3","Kirby","256.46975","paid","Waterloo-Cedar Falls, IA","637","Fandangu Los Llobos","44"
"Billy Talent","Aleena","F","4","Kirby","190.37995","paid","Waterloo-Cedar Falls, IA","637","Voices Of Violence (Album Version)","44"
"Phoenix","Aleena","F","5","Kirby","193.85424","paid","Waterloo-Cedar Falls, IA","637","Courtesy Laughs","44"
"Kanye West","Aleena","F","6","Kirby","242.93832","paid","Waterloo-Cedar Falls, IA","637","We Don't Care","44"
"Damero feat. Nevis Peak","Aleena","F","7","Kirby","356.33587","paid","Waterloo-Cedar Falls, IA","637","Gestern_Morgen","44"
"Shakira","Aleena","F","8","Kirby","289.98485","paid","Waterloo-Cedar Falls, IA","637","Que Me Quedes Tu","44"
"Big Kuntry King","Aleena","F","9","Kirby","232.75057","paid","Waterloo-Cedar Falls, IA","637","Da Baddest [Feat. Trey Songz] (Explicit Album Version)","44"
"Kenny G","Chloe","F","53","Cuevas","256.57424","paid","San Francisco-Oakland-Hayward, CA","648","Everlasting","49"
"Randy Crawford","Chloe","F","54","Cuevas","251.402","paid","San Francisco-Oakland-Hayward, CA","648","Rio De Janeiro Blue (Album Version)","49"
"Placebo","Chloe","F","55","Cuevas","224.02567","paid","San Francisco-Oakland-Hayward, CA","648","Breathe Underwater","49"
"Poison The Well","Chloe","F","56","Cuevas","184.60689","paid","San Francisco-Oakland-Hayward, CA","648","Riverside","49"
"Justin Bieber","Chloe","F","57","Cuevas","196.88444","paid","San Francisco-Oakland-Hayward, CA","648","U Smile","49"
"Type O Negative","Chloe","F","58","Cuevas","366.23628","paid","San Francisco-Oakland-Hayward, CA","648","Can't Lose You (Album Version)","49"
"The All-American Rejects","Chloe","F","59","Cuevas","260.15302","paid","San Francisco-Oakland-Hayward, CA","648","Happy Endings","49"
"Eminem","Mohammad","M","0","Rodriguez","252.73424","free","Sacramento--Roseville--Arden-Arcade, CA","659","Still Don't Give A Fuck","88"
"Silversun Pickups","Chloe","F","60","Cuevas","353.61914","paid","San Francisco-Oakland-Hayward, CA","648","Growing Old Is Getting Old (Album Version)","49"
"Kid Rock","Chloe","F","61","Cuevas","396.72118","paid","San Francisco-Oakland-Hayward, CA","648","New Orleans (Album Version)","49"
"Clifford Brown","Chloe","F","62","Cuevas","662.83057","paid","San Francisco-Oakland-Hayward, CA","648","Night In Tunisia","49"
"New Found Glory","Chloe","F","63","Cuevas","222.45832","paid","San Francisco-Oakland-Hayward, CA","648","My Friends Over You","49"
"Elton John","Chloe","F","64","Cuevas","417.01832","paid","San Francisco-Oakland-Hayward, CA","648","Song For Guy","49"
"Hot Chip","Chloe","F","65","Cuevas","198.76526","paid","San Francisco-Oakland-Hayward, CA","648","Tchaparian","49"
"Ratatat","Chloe","F","66","Cuevas","226.53342","paid","San Francisco-Oakland-Hayward, CA","648","Loud Pipes","49"
"Tech N9ne","Chloe","F","67","Cuevas","345.5473","paid","San Francisco-Oakland-Hayward, CA","648","Going Bad","49"
"Judy Cheeks","Chloe","F","68","Cuevas","333.08689","paid","San Francisco-Oakland-Hayward, CA","648","So In Love (The Real Deal) (Frankie Foncett Vocal Mix)","49"
"The Offspring","Chloe","F","69","Cuevas","167.65342","paid","San Francisco-Oakland-Hayward, CA","648","Cool To Hate (Album version)","49"
"Arctic Monkeys","Chloe","F","70","Cuevas","177.84118","paid","San Francisco-Oakland-Hayward, CA","648","Fake Tales Of San Francisco (Explicit)","49"
"Pinback","Chloe","F","71","Cuevas","286.56281","paid","San Francisco-Oakland-Hayward, CA","648","Penelope","49"
"Edwyn Collins","Chloe","F","72","Cuevas","235.91138","paid","San Francisco-Oakland-Hayward, CA","648","A Girl Like You","49"
"Air","Chloe","F","73","Cuevas","244.50567","paid","San Francisco-Oakland-Hayward, CA","648","Venus","49"
"Los Lobos","Chloe","F","74","Cuevas","247.74485","paid","San Francisco-Oakland-Hayward, CA","648","Good Morning Aztlan","49"
"Samael","Sylvie","F","0","Cruz","247.09179","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","677","God's Snake","10"
"Infected Mushroom","Kaleb","M","0","Cook","423.6273","free","Yuba City, CA","616","Saeed","54"
"Shaft","Kaleb","M","1","Cook","207.46404","free","Yuba City, CA","616","(Mucho Mambo) Sway","54"
"Coldplay","Kaleb","M","2","Cook","307.51302","free","Yuba City, CA","616","Clocks","54"
"The Kills","Kaleb","M","3","Cook","287.97342","free","Yuba City, CA","616","Wait","54"
"Cut Copy","Kaleb","M","4","Cook","61.962","free","Yuba City, CA","616","We Fight For Diamonds","54"
"Telepath","Kaleb","M","5","Cook","304.19546","free","Yuba City, CA","616","Globalized","54"
"Daddy Yankee","Kaleb","M","6","Cook","214.77832","free","Yuba City, CA","616","Somos De Calle","54"
"Ennio Morricone","Kaleb","M","7","Cook","215.01342","free","Yuba City, CA","616","Chi Mai (El Profesional)","54"
"Moby","Bronson","M","0","Harris","240.74404","free","Eugene, OR","516","In This World","33"
"Plain White T's","Kaleb","M","8","Cook","232.202","free","Yuba City, CA","616","Hey There Delilah","54"
"The Hush Sound","Jordan","F","0","Hicks","192.46975","free","Salinas, CA","581","A Dark Congregation (Album Version)","37"
"OneRepublic","Jordan","F","1","Hicks","212.32281","free","Salinas, CA","581","Goodbye_ Apathy","37"
"Linkin Park","Jizelle","F","1","Benjamin","183.97995","free","Plymouth, IN","354","Runaway (Album Version)","2"
"Inverse","Jizelle","F","2","Benjamin","225.69751","free","Plymouth, IN","354","Spark My Soul (feat. Substantial)","2"
"The Ramones","Jizelle","F","3","Benjamin","210.18077","free","Plymouth, IN","354","Pet Semetary","2"
"iio","Ryan","M","0","Smith","270.36689","free","San Jose-Sunnyvale-Santa Clara, CA","670","Smooth","26"
"Britt Nicole","Jacob","M","0","Klein","247.48363","paid","Tampa-St. Petersburg-Clearwater, FL","518","Say It","73"
"K's Choice","Jacob","M","1","Klein","206.78485","paid","Tampa-St. Petersburg-Clearwater, FL","518","Another Year","73"
"Sound 5","Jacob","M","2","Klein","451.21261","paid","Tampa-St. Petersburg-Clearwater, FL","518","Latin Static","73"
"10cc","Jacob","M","3","Klein","300.40771","paid","Tampa-St. Petersburg-Clearwater, FL","518","Hotel","73"
"Underworld","Jacob","M","4","Klein","700.81261","paid","Tampa-St. Petersburg-Clearwater, FL","518","Born Slippy","73"
"Plastilina Mosh","Jacob","M","5","Klein","222.95465","paid","Tampa-St. Petersburg-Clearwater, FL","518","NiÃÂ±o Bomba","73"
"Billy Idol","Jacob","M","6","Klein","254.01424","paid","Tampa-St. Petersburg-Clearwater, FL","518","Yellin' At The Xmas Tree","73"
"Coko featuring Kirk Franklin","Jacob","M","7","Klein","249.3122","paid","Tampa-St. Petersburg-Clearwater, FL","518","I Get Joy","73"
"Tech N9ne","Jacob","M","8","Klein","301.76608","paid","Tampa-St. Petersburg-Clearwater, FL","518","Thugged-Out","73"
"Kudai","Jacob","M","9","Klein","225.82812","paid","Tampa-St. Petersburg-Clearwater, FL","518","Ya Nada Queda","73"
"Slightly Stoopid","Jacob","M","10","Klein","158.71955","paid","Tampa-St. Petersburg-Clearwater, FL","518","Till It Gets Wet","73"
"The Killers","Jacob","M","11","Klein","254.85016","paid","Tampa-St. Petersburg-Clearwater, FL","518","Daddy's Eyes","73"
"Final Fantasy","Jacob","M","12","Klein","152.97261","paid","Tampa-St. Petersburg-Clearwater, FL","518","None Of You Will Ever See A Penny","73"
"Snow Patrol","Jacob","M","13","Klein","200.93342","paid","Tampa-St. Petersburg-Clearwater, FL","518","Crack The Shutters","73"
"Jorge Drexler","Jacob","M","18","Klein","224.57424","paid","Tampa-St. Petersburg-Clearwater, FL","518","Ganas De Ti (Album Version)","73"
"Emmy The Great","Jacob","M","19","Klein","204.79955","paid","Tampa-St. Petersburg-Clearwater, FL","518","Mia","73"
"Big Tymers / Gotti / TQ / Mikkey","Jacob","M","20","Klein","222.40608","paid","Tampa-St. Petersburg-Clearwater, FL","518","Sunny Day","73"
"Molotov","Jacob","M","21","Klein","210.07628","paid","Tampa-St. Petersburg-Clearwater, FL","518","Frijolero","73"
"Tub Ring","Lily","F","0","Burns","233.69098","free","New York-Newark-Jersey City, NY-NJ-PA","646","Invalid","32"
"Gin Blossoms","Mohammad","M","0","Rodriguez","233.482","free","Sacramento--Roseville--Arden-Arcade, CA","679","Day Job","88"
"Che Sudaka","Jacob","M","22","Klein","160.49587","paid","Tampa-St. Petersburg-Clearwater, FL","518","Bihotza","73"
"Audioslave","Lily","F","1","Burns","273.65832","free","New York-Newark-Jersey City, NY-NJ-PA","646","Yesterday To Tomorrow","32"
"Erin Bode","Jacob","M","23","Klein","252.05506","paid","Tampa-St. Petersburg-Clearwater, FL","518","Here_ There And Everywhere","73"
"Calle 13","Mohammad","M","1","Rodriguez","239.3073","free","Sacramento--Roseville--Arden-Arcade, CA","679","AtrÃÂ©vete te te","88"
"Selena Gomez & The Scene","Lily","F","2","Burns","184.65914","free","New York-Newark-Jersey City, NY-NJ-PA","646","Falling Down","32"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Jacob","M","24","Klein","277.15873","paid","Tampa-St. Petersburg-Clearwater, FL","518","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","73"
"Colbie Caillat","Jacob","M","25","Klein","233.16853","paid","Tampa-St. Petersburg-Clearwater, FL","518","I Never Told You","73"
"The Black Crowes","Jacob","M","26","Klein","223.65995","paid","Tampa-St. Petersburg-Clearwater, FL","518","Mellow Down Easy","73"
"Aloe Blacc","Jacob","M","27","Klein","244.1922","paid","Tampa-St. Petersburg-Clearwater, FL","518","I Need A Dollar","73"
"Datarock","Jacob","M","28","Klein","169.50812","paid","Tampa-St. Petersburg-Clearwater, FL","518","True Stories","73"
"Benjy Ferree","Jacob","M","29","Klein","169.89995","paid","Tampa-St. Petersburg-Clearwater, FL","518","Fear","73"
"Lighter Shade of Brown","Jacob","M","30","Klein","211.85261","paid","Tampa-St. Petersburg-Clearwater, FL","518","Homies","73"
"Kinky","Jacob","M","31","Klein","190.92853","paid","Tampa-St. Petersburg-Clearwater, FL","518","Soun Tha Mi Primer Amor","73"
"Pepper","Jacob","M","32","Klein","139.98975","paid","Tampa-St. Petersburg-Clearwater, FL","518","Blackout","73"
"Lionel Richie","Jacob","M","33","Klein","249.62567","paid","Tampa-St. Petersburg-Clearwater, FL","518","Hello","73"
"Fat Freddys Drop","Jacob","M","34","Klein","431.28118","paid","Tampa-St. Petersburg-Clearwater, FL","518","The Raft","73"
"Aqua","Jacob","M","35","Klein","201.92608","paid","Tampa-St. Petersburg-Clearwater, FL","518","Doctor Jones","73"
"Arctic Monkeys","Jacob","M","36","Klein","193.43628","paid","Tampa-St. Petersburg-Clearwater, FL","518","From The Ritz To The Rubble","73"
"The Crests","Avery","F","3","Watkins","182.88281","paid","San Jose-Sunnyvale-Santa Clara, CA","629","16 Candles","30"
"Onra","Jacob","M","37","Klein","120.94649","paid","Tampa-St. Petersburg-Clearwater, FL","518","TAKE A RIDE","73"
"Jets To Brazil","Jacob","M","38","Klein","305.73669","paid","Tampa-St. Petersburg-Clearwater, FL","518","Cat Heaven","73"
"Extreme","Avery","F","4","Watkins","238.99383","paid","San Jose-Sunnyvale-Santa Clara, CA","629","More Than Words","30"
"John Mayer","Avery","F","5","Watkins","269.71383","paid","San Jose-Sunnyvale-Santa Clara, CA","629","Heartbreak Warfare","30"
"The Knife","Jacob","M","39","Klein","292.54485","paid","Tampa-St. Petersburg-Clearwater, FL","518","Silent Shout","73"
"Nelson Ned","Avery","F","6","Watkins","187.24526","paid","San Jose-Sunnyvale-Santa Clara, CA","629","Eu Gosto Tanto De Voce","30"
"The Mars Volta","Jacob","M","40","Klein","472.39791","paid","Tampa-St. Petersburg-Clearwater, FL","518","With Twilight as My Guide","73"
"Cyan Velvet Project","Avery","F","7","Watkins","205.16526","paid","San Jose-Sunnyvale-Santa Clara, CA","629","Dead Skin (edit)","30"
"Tub Ring","Avery","F","8","Watkins","233.69098","paid","San Jose-Sunnyvale-Santa Clara, CA","629","Invalid","30"
"Thee Silver Mountain Reveries","Jacob","M","41","Klein","587.38893","paid","Tampa-St. Petersburg-Clearwater, FL","518","Microphones in the Trees","73"
"Red Hot Chili Peppers","Avery","F","9","Watkins","334.65424","paid","San Jose-Sunnyvale-Santa Clara, CA","629","Snow [Hey Oh] (Album Version)","30"
"Metallica","Jacob","M","42","Klein","515.21261","paid","Tampa-St. Petersburg-Clearwater, FL","518","Master Of Puppets","73"
"Bikini Kill","Jacob","M","43","Klein","149.81179","paid","Tampa-St. Petersburg-Clearwater, FL","518","Reject All American","73"
"The Black Keys","Jacob","M","44","Klein","204.59057","paid","Tampa-St. Petersburg-Clearwater, FL","518","Every Lasting Light","73"
"Jake Hess","Jacob","M","45","Klein","199.26159","paid","Tampa-St. Petersburg-Clearwater, FL","518","You And Me Jesus","73"
"B.o.B","Jacob","M","46","Klein","269.63546","paid","Tampa-St. Petersburg-Clearwater, FL","518","Nothin' On You [feat. Bruno Mars] (Album Version)","73"
"Collective Soul","Jacob","M","47","Klein","155.29751","paid","Tampa-St. Petersburg-Clearwater, FL","518","Reunion (LP Version)","73"
"Three Drives","Jacob","M","48","Klein","411.6371","paid","Tampa-St. Petersburg-Clearwater, FL","518","Greece 2000","73"
"Vanity Fare","Jacob","M","49","Klein","152.86812","paid","Tampa-St. Petersburg-Clearwater, FL","518","Early In The Morning","73"
"Drake / Kanye West / Lil Wayne / Eminem","Jacob","M","50","Klein","357.66812","paid","Tampa-St. Petersburg-Clearwater, FL","518","Forever","73"
"Aleks Syntek","Stefany","F","1","White","300.14649","free","Lubbock, TX","649","Tu Necesitas (2008 Digital Remaster)","83"
"The Grapes Of Wrath","Stefany","F","2","White","138.05669","free","Lubbock, TX","649","All The Things I Wasn't","83"
"Rilo Kiley","Stefany","F","3","White","215.64036","free","Lubbock, TX","649","Silver Lining (Album Version)","83"
"Lonnie Gordon","Stefany","F","4","White","181.21098","free","Lubbock, TX","649","Catch You Baby (Steve Pitron & Max Sanna Radio Edit)","83"
"Matt Costa","Ava","F","0","Robinson","246.02077","free","New Haven-Milford, CT","669","Unfamiliar Faces","50"
"Capital Inicial","Jaleah","F","0","Hayes","228.67546","paid","San Antonio-New Braunfels, TX","113","FÃÂ¡tima","70"
"A Day To Remember","Jaleah","F","2","Hayes","243.22567","paid","San Antonio-New Braunfels, TX","113","If It Means A Lot To You","70"
"Jack Johnson","Jaleah","F","3","Hayes","236.93016","paid","San Antonio-New Braunfels, TX","113","Bubble Toes","70"
"Gorillaz","Jaleah","F","4","Hayes","246.17751","paid","San Antonio-New Braunfels, TX","113","DARE","70"
"Jason Mraz","Jaleah","F","5","Hayes","220.18567","paid","San Antonio-New Braunfels, TX","113","You And I Both (LP Version)","70"
"Ligabue","Jaleah","F","6","Hayes","246.20363","paid","San Antonio-New Braunfels, TX","113","I duri hanno due cuori","70"
"Steve Miller Band","Jaleah","F","7","Hayes","306.23302","paid","San Antonio-New Braunfels, TX","113","Abracadabra","70"
"38 Special","Jaleah","F","8","Hayes","280.76363","paid","San Antonio-New Braunfels, TX","113","Caught Up In You","70"
"Wonderwall","Jaleah","F","9","Hayes","281.02485","paid","San Antonio-New Braunfels, TX","113","Just More (Album Version)","70"
"Pepper","Jaleah","F","10","Hayes","166.32118","paid","San Antonio-New Braunfels, TX","113","Slave","70"
"Buckcherry","Jaleah","F","11","Hayes","208.66567","paid","San Antonio-New Braunfels, TX","113","Next 2 You (Album Version)","70"
"Travie McCoy","Jaleah","F","12","Hayes","211.12118","paid","San Antonio-New Braunfels, TX","113","Billionaire [feat. Bruno Mars]  (Explicit Album Version)","70"
"OneRepublic","Jaleah","F","13","Hayes","224.67873","paid","San Antonio-New Braunfels, TX","113","Secrets","70"
"Hawk Nelson","Chloe","F","0","Cuevas","174.81098","paid","San Francisco-Oakland-Hayward, CA","680","California","49"
"Pearl Jam","Jaleah","F","14","Hayes","258.48118","paid","San Antonio-New Braunfels, TX","113","Faithful","70"
"JOSEF LOCKE & ORCHESTRA","Chloe","F","1","Cuevas","166.26893","paid","San Francisco-Oakland-Hayward, CA","680","How Can You Buy Killarney (1992 Digital Remaster)","49"
"Project 86","Chloe","F","2","Cuevas","777.58649","paid","San Francisco-Oakland-Hayward, CA","680","Twenty Three (LP Version)","49"
"Daft Punk","Jaleah","F","15","Hayes","536.13669","paid","San Antonio-New Braunfels, TX","113","Revolution 909 (Roger Sanchez Remix)","70"
"38 Special","Jaleah","F","16","Hayes","280.76363","paid","San Antonio-New Braunfels, TX","113","Caught Up In You","70"
"Creedence Clearwater Revival","Chloe","F","4","Cuevas","186.51383","paid","San Francisco-Oakland-Hayward, CA","680","Proud Mary","49"
"Ill Nino","Jaleah","F","17","Hayes","175.22893","paid","San Antonio-New Braunfels, TX","113","My Resurrection (Album Version)","70"
"The Police","Chloe","F","5","Cuevas","289.85424","paid","San Francisco-Oakland-Hayward, CA","680","So Lonely","49"
"Bitter:Sweet","Jaleah","F","18","Hayes","160.78322","paid","San Antonio-New Braunfels, TX","113","Take 2 Blue","70"
"N.E.R.D. FEATURING MALICE","Jayden","M","0","Fox","288.9922","free","New Orleans-Metairie, LA","184","Am I High (Feat. Malice)","101"
"Death Cab for Cutie","Stefany","F","1","White","216.42404","free","Lubbock, TX","82","A Lack Of Color (Album Version)","83"
"Tracy Gang Pussy","Stefany","F","2","White","221.33506","free","Lubbock, TX","82","I Have A Wish","83"
"Skillet","Kevin","M","0","Arellano","178.02404","free","Harrisburg-Carlisle, PA","153","Monster (Album Version)","66"
"Dance Gavin Dance","Marina","F","0","Sutton","218.46159","free","Salinas, CA","47","Uneasy Hearts Weigh The Most","48"
"Dalto","Aiden","M","1","Hess","190.40608","free","La Crosse-Onalaska, WI-MN","170","Falta Te Dizer","86"
"Kanye West","Makinley","F","0","Jones","278.88281","free","Chicago-Naperville-Elgin, IL-IN-WI","118","Family Business","17"
"Jason Mraz & Colbie Caillat","Kevin","M","0","Arellano","189.6224","free","Harrisburg-Carlisle, PA","187","Lucky (Album Version)","66"
"Liz Callaway","Lily","F","0","Koch","175.43791","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Journey To The Past  (LP Version)","15"
"The Decemberists","Lily","F","1","Koch","242.59873","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Everything I Try to Do_ Nothing Seems to Turn Out Right","15"
"Christina Aguilera","Lily","F","2","Koch","254.48444","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Impossible","15"
"OneRepublic","Lily","F","3","Koch","224.67873","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Secrets","15"
"Cat Stevens","Kynnedi","F","1","Sanchez","200.202","free","Cedar Rapids, IA","88","Wild World","89"
"Brett Dennen","Lily","F","4","Koch","179.66975","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","World Keeps Turning","15"
"Godsmack","Lily","F","5","Koch","208.24771","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Greed","15"
"Anis","Lily","F","6","Koch","246.59546","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Swing Javanaise","15"
"Tiziano Ferro","Lily","F","7","Koch","251.42812","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Ed Ero Contentissimo","15"
"Kylie Auldist","Lily","F","8","Koch","265.92608","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Ship Inside A Bottle","15"
"Benga","Lily","F","9","Koch","286.17098","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","The Cut","15"
"T. Rex","Lily","F","10","Koch","132.85832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Ride A White Swan","15"
"Mexican Institute of Sound","Lily","F","11","Koch","278.04689","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Mirando a Las Muchachas","15"
"Velour 100","Lily","F","12","Koch","202.29179","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Clouds (Of Color Bright Album Version)","15"
"Maria de Barros","Lily","F","13","Koch","276.29669","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Riberonzinha","15"
"Toby Keith","Lily","F","14","Koch","177.162","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Big Blue Note","15"
"Marques Houston","Lily","F","15","Koch","264.98567","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Naked","15"
"Commit Suicide","Lily","F","16","Koch","105.482","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","In All This Revelation","15"
"Smile Empty Soul","Lily","F","17","Koch","218.61832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Bottom of a Bottle (Explicit Album Version)","15"
"Amy Winehouse","Lily","F","18","Koch","221.1522","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Wake Up Alone","15"
"Eyehategod","Lily","F","19","Koch","155.66322","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Sisterfucker (part Ii)","15"
"Sunidhi Chauhan / Anu Malik / Jatin Sharma","Lily","F","20","Koch","319.32036","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Dekh Le","15"
"Blondie","Lily","F","21","Koch","127.73832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Little Girl Lies (2001 Digital Remaster)","15"
"She & Him","Lily","F","23","Koch","167.83628","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Got Me","15"
"The Black Keys","Lily","F","24","Koch","294.76526","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","The Lengths","15"
"Survivor","Lily","F","25","Koch","245.36771","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Eye Of The Tiger","15"
"Conya Doss","Lily","F","26","Koch","317.98812","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","I Miss You","15"
"Disney Studio Chorus","Lily","F","28","Koch","234.84036","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Little April Shower","15"
"Dirty Projectors","Lily","F","29","Koch","319.63383","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Stillness Is The Move","15"
"Boom Bip","Lily","F","30","Koch","330.16118","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","From Left To Right","15"
"Avantasia","Lily","F","31","Koch","368.97914","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Shelter From The Rain","15"
"Amon Amarth","Lily","F","32","Koch","312.29342","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","North Sea Storm (Live)","15"
"Young Money featuring Lloyd","Lily","F","33","Koch","196.33587","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","BedRock (Radio Edit) (feat.Lloyd)","15"
"Breakbeat Era","Lily","F","34","Koch","326.32118","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Anti-Everything","15"
"Local Natives","Lily","F","35","Koch","237.92281","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Airplanes","15"
"Gabriella Cilmi","Lily","F","36","Koch","207.38567","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Awkward Game","15"
"Minus The Bear","Tegan","F","1","Levine","219.76771","free","Portland-South Portland, ME","165","Knights","80"
"Calle 13 Featuring CafÃÂ© Tacuba","Lily","F","37","Koch","293.32853","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","No Hay Nadie Como TÃÂº","15"
"Frumpies","Aleena","F","0","Kirby","134.47791","paid","Waterloo-Cedar Falls, IA","157","Fuck Kitty","44"
"D-12","Aleena","F","1","Kirby","261.40689","paid","Waterloo-Cedar Falls, IA","157","Barbershop","44"
"Emil Gilels/Orchestre de la SociÃÂ©tÃÂ© des Concerts du Conservatoire/AndrÃÂ© Cluytens","Tegan","F","2","Levine","375.19628","free","Portland-South Portland, ME","165","Piano Concerto No. 2 in G minor Op. 22 (2006 Digital Remaster): III.  Presto","80"
"Dragonette","Lily","F","38","Koch","246.49098","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Fixin to Thrill","15"
"Pennywise","Mohammad","M","0","Rodriguez","188.26404","free","Sacramento--Roseville--Arden-Arcade, CA","87","The Western World","88"
"Kanye West","Aleena","F","2","Kirby","238.52363","paid","Waterloo-Cedar Falls, IA","157","Flashing Lights","44"
